run	task	solver	seed	rc	minutes
velocity-flat-unitreego1-mujoco-s43-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco	43	0	15
velocity-flat-unitreego1-mujoco-adaptive-s43-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco-adaptive	43	0	20
velocity-flat-unitreego2-mujoco-s43-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco	43	0	6
velocity-flat-unitreego2-mujoco-adaptive-s43-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco-adaptive	43	0	10
velocity-flat-g1-mujoco-s43-r1	Isaac-Velocity-Flat-G1	mujoco	43	0	26
velocity-flat-g1-mujoco-adaptive-s43-r1	Isaac-Velocity-Flat-G1	mujoco-adaptive	43	0	204
velocity-flat-h1-mujoco-s43-r1	Isaac-Velocity-Flat-H1	mujoco	43	0	15
velocity-flat-h1-mujoco-adaptive-s43-r1	Isaac-Velocity-Flat-H1	mujoco-adaptive	43	0	37
cartpole-direct-mujoco-s44-r1	Isaac-Cartpole-Direct	mujoco	44	0	0
cartpole-direct-mujoco-adaptive-s44-r1	Isaac-Cartpole-Direct	mujoco-adaptive	44	0	0
cartpole-mujoco-s44-r1	Isaac-Cartpole	mujoco	44	0	0
cartpole-mujoco-adaptive-s44-r1	Isaac-Cartpole	mujoco-adaptive	44	0	0
reach-ur10-mujoco-s44-r1	Isaac-Reach-UR10	mujoco	44	0	8
reach-ur10-mujoco-adaptive-s44-r1	Isaac-Reach-UR10	mujoco-adaptive	44	0	13
ant-direct-mujoco-s44-r1	Isaac-Ant-Direct	mujoco	44	0	5
ant-direct-mujoco-adaptive-s44-r1	Isaac-Ant-Direct	mujoco-adaptive	44	0	15
ant-mujoco-s44-r1	Isaac-Ant	mujoco	44	0	5
ant-mujoco-adaptive-s44-r1	Isaac-Ant	mujoco-adaptive	44	0	16
humanoid-direct-mujoco-s44-r1	Isaac-Humanoid-Direct	mujoco	44	0	7
humanoid-direct-mujoco-adaptive-s44-r1	Isaac-Humanoid-Direct	mujoco-adaptive	44	0	36
humanoid-mujoco-s44-r1	Isaac-Humanoid	mujoco	44	1	4
humanoid-mujoco-adaptive-s44-r1	Isaac-Humanoid	mujoco-adaptive	44	0	52
velocity-flat-anymald-mujoco-s44-r1	Isaac-Velocity-Flat-AnymalD	mujoco	44	0	2
velocity-flat-anymald-mujoco-adaptive-s44-r1	Isaac-Velocity-Flat-AnymalD	mujoco-adaptive	44	0	15
velocity-flat-anymalb-mujoco-s44-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco	44	0	7
velocity-flat-anymalb-mujoco-adaptive-s44-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco-adaptive	44	0	19
velocity-flat-anymalc-mujoco-s44-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco	44	0	2
velocity-flat-anymalc-mujoco-adaptive-s44-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco-adaptive	44	0	14
velocity-flat-unitreea1-mujoco-s44-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco	44	0	4
velocity-flat-unitreea1-mujoco-adaptive-s44-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco-adaptive	44	0	10
velocity-flat-unitreego1-mujoco-s44-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco	44	0	15
velocity-flat-unitreego1-mujoco-adaptive-s44-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco-adaptive	44	0	20
velocity-flat-unitreego2-mujoco-s44-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco	44	0	6
velocity-flat-unitreego2-mujoco-adaptive-s44-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco-adaptive	44	0	10
velocity-flat-g1-mujoco-s44-r1	Isaac-Velocity-Flat-G1	mujoco	44	0	26
velocity-flat-g1-mujoco-adaptive-s44-r1	Isaac-Velocity-Flat-G1	mujoco-adaptive	44	0	205
velocity-flat-h1-mujoco-s44-r1	Isaac-Velocity-Flat-H1	mujoco	44	0	15
velocity-flat-h1-mujoco-adaptive-s44-r1	Isaac-Velocity-Flat-H1	mujoco-adaptive	44	0	37
cartpole-direct-mujoco-s45-r1	Isaac-Cartpole-Direct	mujoco	45	0	0
cartpole-direct-mujoco-adaptive-s45-r1	Isaac-Cartpole-Direct	mujoco-adaptive	45	0	0
cartpole-mujoco-s45-r1	Isaac-Cartpole	mujoco	45	0	0
