scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
hard-clutter,mujoco-adaptive,0.1,,0.1,16384,1024,2.0,3,0.3963771082150439,0.0003870870197412538,6.055555555555555,0.0,ok
hard-clutter,mujoco-adaptive,0.01,,0.1,16384,1024,2.0,3,1.9280681539223425,0.0018828790565647876,29.88888888888889,0.0,ok
hard-clutter,mujoco-adaptive,0.001,,0.1,16384,1024,2.0,3,5.7758984055059654,0.005640525786626919,87.38888888888889,0.0,ok
hard-clutter,mujoco-adaptive,0.0001,,0.1,16384,1024,2.0,3,14.738176855931265,0.014392750835870376,247.66666666666666,0.0,ok
hard-clutter,mujoco-adaptive,1e-05,,0.1,16384,1024,2.0,3,37.51722450161146,0.03663791455235494,630.4444444444445,0.0,ok
hard-clutter,mujoco-adaptive,1e-06,,0.1,16384,1024,2.0,3,70.62895091043578,0.06897358487347244,1456.9444444444443,0.0,ok
hard-clutter,icf-adaptive,0.1,,0.1,16384,1024,2.0,3,2.2742601551322474,0.0022209571827463354,13.0,0.0,ok
hard-clutter,icf-adaptive,0.01,,0.1,16384,1024,2.0,3,4.118987022278209,0.004022448263943564,28.88888888888889,0.0,ok
hard-clutter,icf-adaptive,0.001,,0.1,16384,1024,2.0,3,8.2827144744806,0.00808858835398496,71.83333333333333,0.0,ok
hard-clutter,icf-adaptive,0.0001,,0.1,16384,1024,2.0,3,21.144069920863128,0.0206485057820929,208.16666666666666,0.0,ok
hard-clutter,icf-adaptive,1e-05,,0.1,16384,1024,2.0,3,75.86690270626504,0.07408877217408695,609.7222222222222,0.0,ok
hard-clutter,icf-adaptive,1e-06,,0.1,16384,1024,2.0,3,192.79935765519946,0.18828062271015572,1605.888888888889,0.0,ok
hard-clutter,mujoco,,0.01,0.1,,1024,2.0,3,0.17930074284474054,0.00017509838168431693,10,0.0,ok
hard-clutter,mujoco,,0.005,0.1,,1024,2.0,3,0.39785034281926024,0.0003885257254094338,20,0.0,ok
hard-clutter,mujoco,,0.002,0.1,,1024,2.0,3,1.0691835570873485,0.0010441245674681137,50,0.0,ok
hard-clutter,mujoco,,0.001,0.1,,1024,2.0,3,1.8087449230046735,0.0017663524638717515,100,0.0,ok
hard-clutter,icf,,0.01,0.1,,1024,2.0,3,1.132920547388494,0.0011063677220590762,10,0.0,ok
hard-clutter,icf,,0.005,0.1,,1024,2.0,3,1.9061946959441733,0.0018615182577579818,20,0.0,ok
hard-clutter,icf,,0.002,0.1,,1024,2.0,3,3.5788450754868486,0.0034949658940301256,50,0.0,ok
hard-clutter,icf,,0.001,0.1,,1024,2.0,3,6.418384550553229,0.006267953662649638,100,0.0,ok
