scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
soft-clutter,mujoco-adaptive,0.1,,0.1,16384,1,2.0,3,0.01008146002681719,0.01008146002681719,1.0555555555555556,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,16384,1,2.0,3,0.012207172241889767,0.012207172241889767,1.3888888888888888,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,16384,1,2.0,3,0.02523525721497006,0.02523525721497006,3.8333333333333335,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,16384,1,2.0,3,0.0801042345766392,0.0801042345766392,14.444444444444445,0.0,ok
soft-clutter,mujoco-adaptive,1e-05,,0.1,16384,1,2.0,3,0.1910881162621081,0.1910881162621081,36.666666666666664,0.0,ok
soft-clutter,mujoco-adaptive,1e-06,,0.1,16384,1,2.0,3,0.21646908277438745,0.21646908277438745,41.888888888888886,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,16384,1,2.0,3,0.013680103390167156,0.013680103390167156,1.0,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,16384,1,2.0,3,0.011295678300989999,0.011295678300989999,1.3333333333333333,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,16384,1,2.0,3,0.03094304818660021,0.03094304818660021,4.777777777777778,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,16384,1,2.0,3,0.07600331109844975,0.07600331109844975,13.11111111111111,0.0,ok
soft-clutter,icf-adaptive,1e-05,,0.1,16384,1,2.0,3,0.21651896570498744,0.21651896570498744,41.27777777777778,0.0,ok
soft-clutter,icf-adaptive,1e-06,,0.1,16384,1,2.0,3,0.7128537761875324,0.7128537761875324,143.77777777777777,0.0,ok
soft-clutter,mujoco,,0.01,0.1,,1,2.0,3,0.019320598286059167,0.019320598286059167,10,0.0,ok
soft-clutter,mujoco,,0.005,0.1,,1,2.0,3,0.03807663270789716,0.03807663270789716,20,0.0,ok
soft-clutter,mujoco,,0.002,0.1,,1,2.0,3,0.09537572170504265,0.09537572170504265,50,0.0,ok
soft-clutter,mujoco,,0.001,0.1,,1,2.0,3,0.18921258548895517,0.18921258548895517,100,0.0,ok
soft-clutter,icf,,0.01,0.1,,1,2.0,3,0.019150903293242056,0.019150903293242056,10,0.0,ok
soft-clutter,icf,,0.005,0.1,,1,2.0,3,0.03660839775370227,0.03660839775370227,20,0.0,ok
soft-clutter,icf,,0.002,0.1,,1,2.0,3,0.09132361660401027,0.09132361660401027,50,0.0,ok
soft-clutter,icf,,0.001,0.1,,1,2.0,3,0.18433779322852692,0.18433779322852692,100,0.0,ok
