iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
40.45,hard-clutter,icf-adaptive,0.001,,0.1,4096,1,51.39731941744685,239.9771665222943,0.0,36.943991435691714,63.502703327685595,3
33.8,hard-clutter,icf-adaptive,0.001,,0.1,4096,2,57.155369548127055,580.303828744218,0.0,53.9937864523381,88.8808174058795,3
41.65,hard-clutter,icf-adaptive,0.001,,0.1,4096,4,72.27409491315484,672.4140221253039,0.0,71.37204799801111,120.87669922038913,3
44.15,hard-clutter,icf-adaptive,0.001,,0.1,4096,8,158.22469256818295,960.1582522038373,0.0,133.23635957203805,194.8780994862318,3
49.5,hard-clutter,icf-adaptive,0.001,,0.1,4096,16,177.43427446112037,1123.7662013154481,0.0,149.72774754278362,198.6435973085463,3
53.55,hard-clutter,icf-adaptive,0.001,,0.1,4096,32,261.30138244479895,1443.7880159355702,0.0,218.90787361189723,275.38342541083694,3
